movieId,title,genres,storyline,country,language,director,release_year,runtime,age_rating,tag_1,tag_2,tag_3
13,Balto (1995),Adventure|Animation|Children,"A half-wolf, half-husky named Balto gets a chance to become a hero when an outbreak of diphtheria threatens the children of Nome, Alaska in the winter of 1925. He leads a dog team on a 600-mile trip across the Alaskan wilderness to get medical supplies. The film is based on a true story which inspired the Iditarod dog sled race. —Alan Katz",United States,English,Simon Wells,1995.0,1 hour 18 minutes,All,dog,nome alaska,alaska
14,Nixon (1995),Drama,"Writer, Producer, and Director Oliver Stone's exploration of former President Richard Nixon's strict Quaker upbringing, his nascent political strivings in law school, and his strangely self-effacing courtship of his wife, Pat (Joan Allen). The contradictions in his character are revealed early, in the vicious campaign against Helen Gahagan Douglas and the oddly masochistic Checkers speech. His defeat at the hands of the hated and envied John F. Kennedy in the 1960 presidential election, followed by the loss of the 1962 California gubernatorial race, seem to signal the end of his career. Yet, although wholly lacking in charisma, Nixon remains a brilliant political operator, seizing the opportunity provided by the backlash against the antiwar movement to take the Presidency in 1968. It is only when safely in office, running far ahead in the polls for the 1972 Presidential election, that his growing paranoia comes to full flower, triggering the Watergate scandal. —alfiehitchie",United States,"English, Mandarin, Russian",Oliver Stone,1995.0,3 hours 12 minutes,15,american politics,political leader,year 1972
15,Cutthroat Island (1995),Action|Adventure|Romance,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her piratical raids. —Stern",United States,"English, Spanish, Latin, French",Renny Harlin,1995.0,2 hours 4 minutes,12,treasure,pirate,pirate ship
16,Casino (1995),Crime|Drama,"This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970s and '80s are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",United States,English,Martin Scorsese,1995.0,2 hours 58 minutes,18,crime epic,mafia,gambling
17,Sense and Sensibility (1995),Drama|Romance,"When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them. And though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried. —Kathy Li",United States,"English, French",Ang Lee,1995.0,2 hours 16 minutes,15,based on novel,visit,title same as book
18,Four Rooms (1995),Comedy,"This movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel, a former grand old Hollywood hotel, now fallen upon hard times. Often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of Ted, the Bellhop. He's on his first night on the job, when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next, he foolishly agrees to watch a gangster's kids for him while he's away. Finally, he finishes off the night refereeing a ghastly wager. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",United States,English,Allison Anders,1995.0,1 hour 38 minutes,18,neo screwball comedy,anthology film,semen
19,Ace Ventura: When Nature Calls (1995),Comedy,"Ace Ventura, emerging from self-imposed exile in a remote Himalayan hideaway, travels to Africa with explorer Fulton Greenwall to find a sacred bat which is told will avert a war between with Wachootoo and Wachati tribes. Of course, when Ace gets involved, all hell breaks loose... —Jonathan Broxton <j.w.broxton@sheffield.ac.uk>",United States,English,Steve Oedekerk,1995.0,1 hour 30 minutes,All,guano,kidnapping,caught masturbating
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"Two foster brothers work as transit cops. While one's life is as good as it gets, the other's is a pit. After losing his job, getting dumped by his brother, and getting the crap kicked out of him by a loan shark for the umpteenth time, He implements his plan to steal the ""money train,"" a train carrying the New York Subway's weekly revenue. But when things go awry, will his brother be able to save him in time? —A CIA operative",United States,English,Joseph Ruben,1995.0,1 hour 50 minutes,15,train,new year's eve,subway station
21,Get Shorty (1995),Comedy|Crime|Thriller,"Some guys get all the luck, whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business, he's snagged up by a producer. The rest is history. —Joshua Davis <xtnb64a@prodigy.com>",United States,English,Barry Sonnenfeld,1995.0,1 hour 45 minutes,15,loan shark,debt,movie business
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"In San Francisco, the criminal psychologist Helen Hudson is specialized in serial-killers. During a trial, the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later, there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls, she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder? —Claudio Carvalho, Rio de Janeiro, Brazil",United States,English,Jon Amiel,1995.0,2 hours 3 minutes,18,serial killer,copycat killer,copycat murder
23,Assassins (1995),Action|Crime|Thriller,"Robert Rath is a seasoned hitman who just wants out of the business with no back talk. But, as things go, it ain't so easy. A younger, peppier assassin named Bain is having a field day trying to kill said older assassin. Rath teams up with a computer hacker named Electra to defeat the obsessed Bain. —Joshua Davis <xtnb64a@prodigy.com>",France,"English, Dutch, Spanish",Richard Donner,1995.0,2 hours 13 minutes,18,assassin,rival,gun fu
24,Powder (1995),Drama|Sci-Fi,"When sheriff Barnum investigates the death of an elderly rural resident, he discovers a teenage grandson living in the basement. Raised by his grandparents, he has experienced the world only through books, never leaving the family farm. He is sent to a state home for boys where he has trouble fitting in socially. His odd appearance and unusual abilities cause the small town residents to fear and ridicule him. However, not all are afraid. Some begin to view his potential and gifts with wonderment. —Robert B. Young <youngb@tastemaker.com>",United States,English,Victor Salva,1995.0,1 hour 51 minutes,"Rated PG-13 for intense, sometimes frightening elements of theme, and for language",albino,electricity,loneliness
25,Leaving Las Vegas (1995),Drama|Romance,"Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with. —Marco van Hoof <k_luifje7@hotmail.com>",United States,"English, Russian",Mike Figgis,1995.0,1 hour 51 minutes,18,prostitute,falling in love with a prostitute,based on novel
26,Othello (1995),Drama,"Iago convinces Othello, The Moor of Venice that his wife, Desdemona has been unfaithful. Iago is an evil, manipulative character with his own agenda. A plot of jealousy and rage transpires in this classic Shakespearean tale. —Jason Ihle <jrihl@conncoll.edu>",United States,English,Oliver Parker,1995.0,2 hours 3 minutes,Rated R for some sexuality,jealousy,shakespeare play,conspiracy
27,Now and Then (1995),Children|Drama,"Four childhood friends, who are now in their thirties, are having a reunion. Their lives have gone separate and very different ways. Together again, they reminisce about their younger years, especially the eventful period when they were 12. —grantss",United States,English,Lesli Linka Glatter,1995.0,1 hour 42 minutes,15,1970s,1990s,year 1991
28,Persuasion (1995),Drama|Romance,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduced to the now successful and wealthy Captain Frederick Wentworth. With their roles reversed and Captain Wentworth the eligible and wealthy bachelor, Anne navigates the scheming society that still tries to keep them apart.",United Kingdom,English,Roger Michell,1995.0,1 hour 47 minutes,Rated PG for brief mild language,lovers,captain's cabin,water
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"Set in a dystopian society, someone is kidnapping the children. Krank and his band of clones are using the children to harvest their dreams. Then they kidnap Denree, the brother of One, a fairground strongman. One sets out to find his brother. —grantss",France,"French, Cantonese",Marc Caro,1995.0,1 hour 52 minutes,15,steampunk fantasy,steampunk sci fi,orphanage
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"Uncle Liu brings his cousin to Shanghai to work for 'Boss,' the leader of a powerful drug empire in the 1930's. Shuisheng, a simple country boy is awed and overwhelmed by the opulence and immense wealth he is suddenly surrounded by. He is to be the attendant of Xiao Jingbao, the new mistress of 'Boss.' While he fumbles with the demands of his new role, much intrigue is going on around him, well beyond his bewildered perception. Xiao Jingbao is having a tumultuous affair, Fat Yu is starting a gang war, and 'Boss' is beginning to suspect that one of his trusted men is not loyal. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",France,Mandarin,Yimou Zhang,1995.0,1 hour 48 minutes,18,boy,1930s,
31,Dangerous Minds (1995),Drama,"Louanne Johnson is an ex-marine, hired as a teacher in a high-school in a poor area of the city. She has recently separated from her husband. Her friend, also teacher in the school, got the temporary job for her. After a terrible reception from the students, she tries unconventional methods of teaching (using karate, Bob Dylan lyrics etc) to gain the trust of the students. —Claudio Carvalho, Rio de Janeiro, Brazil",United States,English,John N. Smith,1995.0,1 hour 39 minutes,15,teacher student relationship,ex marine,pregnancy
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"James Cole, a prisoner of the state in the year 2035, can earn parole if he agrees to travel back in time and thwart a devastating plague. The virus has wiped out most of the Earth's population and the remainder live underground because the air is poisonous. Returning to the year 1990, six years before the start of the plague, Cole is soon imprisoned in a psychiatric facility because his warnings sound like mad ravings. There he meets a scientist named Dr. Kathryn Railly and Jeffrey Goines, the mad son of an eminent virologist. Cole is returned by the authorities to the year 2035, and finally ends up at his intended destination in 1996. He kidnaps Dr. Railly in order to enlist her help in his quest. Cole discovers graffiti by an apparent animal rights group called the Army of the Twelve Monkeys, but as he delves into the mystery, he hears voices, loses his bearings, and doubts his own sanity. He must figure out if Goines, who seems to be a raving lunatic, holds the key to the puzzle.",United States,"English, French, Latin, Spanish",Terry Gilliam,1995.0,2 hours 9 minutes,15,time travel,virus,plague
34,Babe (1995),Children|Drama,"Gentle farmer Arthur Hoggett wins a piglet named Babe at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly and discovers that he can herd sheep too. But will the other farm animals, including Fly's jealous husband, Rex, accept a pig who doesn't conform to the farm's social hierarchy? —Jwelch5742",Australia,English,Chris Noonan,1995.0,1 hour 31 minutes,All,pig,sheep,farm
36,Dead Man Walking (1995),Crime|Drama,"A convicted murderer on Death Row and the nun who befriends him. Through the portrayal of finely drawn characters and their interactions as the days, hours, and minutes tick down to the condemned man's execution, powerful emotions are unleashed. While Matthew Poncelet and Sister Prejean desperately try to gain a stay of execution from the governor or the courts, scenes are intercut from the brutal crime, gradually revealing the truth about the events that transpired. In addition to her temporal help, the nun also tries to reach out spiritually and assist as a guide to salvation. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",United Kingdom,English,Tim Robbins,1995.0,2 hours 2 minutes,15,nun,f rated,execution
38,It Takes Two (1995),Children|Comedy,"A rich girl named Alyssa and an orphan named Amanda are two little girls who are identical, but complete strangers who accidentally meet one day. Together they form a plan to try getting Alyssa's father, Roger, to prevent making the biggest mistake of his life: marrying an awful woman named Clarisse. —Aaron Saltzer",United States,English,Andy Tennant,1995.0,1 hour 41 minutes,All,mistaken identity,identity swapping,nylon stockings
39,Clueless (1995),Comedy|Romance,"Cher, a high school student in Beverly Hills, must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial, but rather it hides her wit, charm, and intelligence which help her to deal with relationships, friends, family, school, and the all-important teenage social life. —Michael Kaminsky <kaminsky@ucsee.eecs.berkeley.edu>",United States,"English, Spanish",Amy Heckerling,1995.0,1 hour 37 minutes,12,high school,popularity,los angeles california
40,"Cry, the Beloved Country (1995)",Drama,"South African church minister Steven Kumalo is summoned from his village to Johannesburg. There he finds that his son Absolom has been jailed in connection with a robbery in which a white man was killed. The father of the white man, James Jarvis, is a supporter of apartheid, the separation of the races which is the law of South Africa. When they encounter each other, both Kumalo and Jarvis come to unexpected realizations not only about their sons, but about the nature of their own humanity. —Jim Beaver <jumblejim@prodigy.net>",South Africa,English,Darrell Roodt,1995.0,1 hour 46 minutes,Rated PG-13 for emotional thematic elements and brief language,1940s,racial tension,apartheid
41,Richard III (1995),Drama|War,"William Shakespeare's classic play is brought into the present with the setting as Great Britian in the 1930s. Civil war has erupted with the House of Lancaster on one side, claiming the right to the British throne and hoping to bring freedom to the country. Opposing is the House of York, commanded by the infamous Richard III (Sir Ian McKellen), who rules over a fascist government and hopes to install himself as a dictator monarch. —Anthony Hughes <husnock31@hotmail.com>",United Kingdom,English,Richard Loncraine,1995.0,1 hour 50 minutes,18,fascist,dog,tank
42,Dead Presidents (1995),Action|Crime|Drama,"This action film, directed by the Hughes brothers, depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn."" However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960's. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",United States,English,Albert Hughes,1995.0,1 hour 59 minutes,18,hood,vietnam war,1960s
43,Restoration (1995),Drama,"An aspiring young doctor, Robert Merivel found himself in the service of King Charles II and saves the life of a spaniel dear to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry one of the King's mistresses in order to divert the suspicions of another one of his mistresses. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunites with an old friend, he rediscovers his love for true medicine and what it really means to be a doctor. —P. Wong <pwong@nt.net>",United States,"English, Latin",Michael Hoffman,1995.0,1 hour 57 minutes,Rated R for sexuality,17th century,plague,based on novel
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal: 10 wins to be able to legally invade the losing Realm. Outworld has so far collected 9 wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory. —CyberRax",United States,English,Paul W.S. Anderson,1995.0,1 hour 41 minutes,15,based on video game,campy,evil man
45,To Die For (1995),Comedy|Drama|Thriller,"Suzanne Stone (Kidman) knows exactly what she wants. She wants to be a television newscaster and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",United States,English,Gus Van Sant,1995.0,1 hour 46 minutes,18,female protagonist,journalism,title same as book
46,How to Make an American Quilt (1995),Drama|Romance,"Finn is a young graduate student, finishing a master's thesis, and preparing for marriage to her fiance Sam. But thoughts of the end of the free life, and a potential summer fling, intrude. She goes home to her grandmother, where, over the making of her wedding gift by a group of quilting-bee friends, laughter, bickering, love, and advice lead her toward a more open-eyed examination of her course. —Bruce Cameron <dumarest@midcoast.com>",United States,English,Jocelyn Moorhouse,1995.0,1 hour 57 minutes,15,younger version of character,triple f rated,title directed by female
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer... —Mark Fleetwood <mfleetwo@mail.coin.missouri.edu>",United States,English,David Fincher,1995.0,2 hours 7 minutes,18,serial killer,detective,murder
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"This is the Disney animated tale of the romance between a young Native American woman named Pocahontas (Irene Bedard) and Captain John Smith (Mel Gibson), who journeyed to the New World with other settlers to begin fresh lives. Her powerful father, Chief Powhatan (Russell Means), disapproves of their relationship and wants her to marry a native warrior. Meanwhile, Smith's fellow Englishmen hope to rob the Native Americans of their gold. Can Pocahontas' love for Smith save the day? —Jwelch5742",United States,"English, Algonquin",Mike Gabriel,1995.0,1 hour 21 minutes,All,native american protagonist,female protagonist,disobedience
49,When Night Is Falling (1995),Drama|Romance,"Camille and Martin are in love and teachers at a christian college; they get the opportunity to get a better job, but they would have to marry for that. But when Camille's dog dies, she recognizes that her love for Martin is not even as big as the love for her dog. After that, Camille gets to know Petra, and Petra falls in love with Camille. They meet again, but Camille is very unsure about her feelings. When Martin is away for a weekend, Camille and Petra meet in the Circus where Petra is working as an acrobat. They spend the night together, but Martin finds out about it and is shocked. He has an argument with Camille, and she goes burying her dog in the snow, and falls asleep... —Alan Tiedemann <AlanTie@aol.com>",Canada,English,Patricia Rozema,1995.0,1 hour 34 minutes,Unrated,female full frontal nudity,christian,female rear nudity
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Following a truck hijack in New York, five criminals are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze? —Soumitra",United States,"English, Hungarian, Spanish, French",Bryan Singer,1995.0,1 hour 46 minutes,18,surprise ending,criminal mastermind,criminal
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus. —Jason Ihle <jrihl@conncoll.edu>",United States,"English, Latin",Woody Allen,1995.0,1 hour 35 minutes,18,adopted son,new york city,talking about sex
53,Lamerica (1994),Adventure|Drama,"Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. But the youngest italian, Gino, once alone with Spiro, encounter a few problems. Far from his roots, loosing his identity in deep Albania, he begins to change... —Yepok",Italy,"Albanian, Italian",Gianni Amelio,1994.0,1 hour 56 minutes,Not Rated,money,albania,one word title
54,"Big Green, The (1995)",Children|Comedy,"An underdog sports team of misfit kids learns to play a new sport and become champions while building self-esteem, making friends, and solving a variety of dramatic family crises through the able assistance of a foreign exchange teacher and former local sports hero as coaches. —Brian Fries <brian@sii.com>",United States,English,Holly Goldberg Sloan,1995.0,1 hour 40 minutes,All,close up of eyes,texas,fast motion scene
55,Georgia (1995),Drama,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems. Georgia lives a very ordered life with husband, house and children, and Sadie does everything to get her attention. —<Magnus.Salomonsson.3041@student.uu.se>",France,"English, Hebrew",Ulu Grosbard,1995.0,1 hour 55 minutes,18,sister sister estrangement,sister sister conflict,sister sister relationship
57,Home for the Holidays (1995),Drama,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics. —Cyndi Kessler <ckessler@ix.netcom.com>",United States,English,Jodie Foster,1995.0,1 hour 43 minutes,15,thanksgiving,gay sibling,female protagonist
